timestamp,cash,mark_value,equity,open_positions,window_id
2022-05-26,99981.17899999999,0.0,99981.17899999999,1,0
2022-05-27,99962.358,0.0,99962.358,0,0
2022-05-31,99945.12099999998,0.0,99945.12099999998,1,0
2022-06-01,99927.88399999999,0.0,99927.88399999999,0,0
2022-06-02,99927.88399999999,0.0,99927.88399999999,0,0
2022-06-03,99909.26999999999,0.0,99909.26999999999,1,0
2022-06-06,99891.78099999999,0.0,99891.78099999999,2,0
2022-06-07,99855.67799999999,0.0,99855.67799999999,0,0
2022-06-08,99837.67599999998,0.0,99837.67599999998,1,0
2022-06-09,99819.67399999998,0.0,99819.67399999998,0,0
2022-06-10,99810.21399999998,0.0,99810.21399999998,1,0
2022-06-13,99791.20399999997,0.0,99791.20399999997,1,0
2022-06-14,99772.61249999996,0.0,99772.61249999996,1,0
2022-06-15,99743.75099999995,0.0,99743.75099999995,1,0
2022-06-16,99713.63849999994,0.0,99713.63849999994,1,0
2022-06-17,99703.70149999994,0.0,99703.70149999994,2,0
2022-06-21,99683.47199999994,0.0,99683.47199999994,0,0
2022-06-22,99674.19649999993,0.0,99674.19649999993,1,0
2022-06-23,99647.56699999992,0.0,99647.56699999992,1,0
2022-06-24,99628.53899999992,0.0,99628.53899999992,2,0
2022-06-27,99592.1569999999,0.0,99592.1569999999,0,0
2022-06-28,99592.1569999999,0.0,99592.1569999999,0,0
2022-06-29,99572.7509999999,0.0,99572.7509999999,1,0
2022-06-30,99555.67599999989,0.0,99555.67599999989,2,0
2022-07-01,99537.69199999988,0.0,99537.69199999988,3,0
2022-07-05,99483.22699999988,0.0,99483.22699999988,0,0
2022-07-06,99483.22699999988,0.0,99483.22699999988,0,0
2022-07-07,99483.22699999988,0.0,99483.22699999988,0,0
2022-07-08,99462.92999999988,0.0,99462.92999999988,1,0
2022-07-11,99442.63299999987,0.0,99442.63299999987,0,0
2022-07-12,99442.63299999987,0.0,99442.63299999987,0,0
2022-07-13,99442.63299999987,0.0,99442.63299999987,0,0
2022-07-14,99425.41399999986,0.0,99425.41399999986,1,0
2022-07-15,99406.43099999985,0.0,99406.43099999985,2,0
2022-07-18,99359.80149999986,0.0,99359.80149999986,1,0
2022-07-19,99349.37399999985,0.0,99349.37399999985,0,0
2022-07-20,99349.37399999985,0.0,99349.37399999985,0,0
2022-07-21,99349.37399999985,0.0,99349.37399999985,0,0
2022-07-22,99330.35499999985,0.0,99330.35499999985,1,0
2022-07-25,99311.33599999985,0.0,99311.33599999985,0,0
2022-07-26,99291.43499999984,0.0,99291.43499999984,1,0
2022-07-27,99271.53399999984,0.0,99271.53399999984,0,0
2022-07-28,99262.46549999983,0.0,99262.46549999983,1,0
2022-07-29,99253.39699999984,0.0,99253.39699999984,0,0
2022-08-01,99233.60399999983,0.0,99233.60399999983,1,0
2022-08-02,99216.24999999983,0.0,99216.24999999983,2,0
2022-08-03,99169.30549999981,0.0,99169.30549999981,1,0
2022-08-04,99159.50799999981,0.0,99159.50799999981,0,0
2022-08-05,99149.2694999998,0.0,99149.2694999998,1,0
2022-08-08,99121.73999999979,0.0,99121.73999999979,1,0
2022-08-09,100000.0,0.0,100000.0,0,1
2022-08-10,99990.45449999999,0.0,99990.45449999999,1,1
2022-08-11,99961.818,0.0,99961.818,1,1
2022-08-12,99934.122,0.0,99934.122,1,1
2022-08-15,99925.085,0.0,99925.085,2,1
2022-08-16,99897.75800000002,0.0,99897.75800000002,1,1
2022-08-17,99888.07300000002,0.0,99888.07300000002,0,1
2022-08-18,99877.57350000001,0.0,99877.57350000001,1,1
2022-08-19,99867.07400000001,0.0,99867.07400000001,0,1
2022-08-22,99846.489,0.0,99846.489,1,1
2022-08-23,99825.27399999999,0.0,99825.27399999999,2,1
2022-08-24,99804.97699999998,0.0,99804.97699999998,3,1
2022-08-25,99733.10949999998,0.0,99733.10949999998,1,1
2022-08-26,99723.33899999998,0.0,99723.33899999998,0,1
2022-08-29,99723.33899999998,0.0,99723.33899999998,0,1
2022-08-30,99723.33899999998,0.0,99723.33899999998,0,1
2022-08-31,99723.33899999998,0.0,99723.33899999998,0,1
2022-09-01,99705.51699999998,0.0,99705.51699999998,1,1
2022-09-02,99687.69499999998,0.0,99687.69499999998,0,1
2022-09-06,99687.69499999998,0.0,99687.69499999998,0,1
2022-09-07,99670.59299999998,0.0,99670.59299999998,1,1
2022-09-08,99651.83499999998,0.0,99651.83499999998,2,1
2022-09-09,99631.29499999997,0.0,99631.29499999997,3,1
2022-09-12,99574.89499999997,0.0,99574.89499999997,0,1
2022-09-13,99574.89499999997,0.0,99574.89499999997,0,1
2022-09-14,99556.15499999997,0.0,99556.15499999997,1,1
2022-09-15,99537.41499999996,0.0,99537.41499999996,0,1
2022-09-16,99518.81899999996,0.0,99518.81899999996,1,1
2022-09-19,99498.41399999996,0.0,99498.41399999996,2,1
2022-09-20,99459.41299999996,0.0,99459.41299999996,0,1
2022-09-21,99450.93849999996,0.0,99450.93849999996,1,1
2022-09-22,99441.73949999995,0.0,99441.73949999995,2,1
2022-09-23,99406.81099999996,0.0,99406.81099999996,1,1
2022-09-26,99380.31649999996,0.0,99380.31649999996,1,1
2022-09-27,99371.49549999996,0.0,99371.49549999996,2,1
2022-09-28,99334.81199999996,0.0,99334.81199999996,1,1
2022-09-29,99316.18899999995,0.0,99316.18899999995,0,1
2022-09-30,99305.65799999995,0.0,99305.65799999995,1,1
2022-10-03,99274.57799999995,0.0,99274.57799999995,1,1
2022-10-04,99253.65099999994,0.0,99253.65099999994,2,1
