timestamp_utc,plan_id,symbol,strategy,action,quantity,current_mark,entry_debit,order_id,unrealized_pnl,unrealized_pnl_pct,signal,closed,note
2026-04-07T13:48:27.585917+00:00,META_20260407_1348,META,bear,SELL,17,569.12,569.12,2,0.0,0.0,open,0,placed
2026-04-07T13:48:27.991800+00:00,GOOGL_20260407_1347,GOOGL,bear,SELL,33,300.89,300.89,3,0.0,0.0,open,0,placed
2026-04-07T13:48:28.253526+00:00,META_20260407_1348,META,bear,hold,17,569.12,569.12,2,0.0,0.0,hold,0,
2026-04-07T13:48:28.513199+00:00,GOOGL_20260407_1347,GOOGL,bear,hold,33,300.89,300.89,3,0.0,0.0,hold,0,
2026-04-07T13:54:42.595929+00:00,MSFT_20260407_1354,MSFT,bear,SELL,27,370.31,370.31,4,0.0,0.0,open,0,placed
2026-04-07T13:54:42.856301+00:00,META_20260407_1348,META,bear,hold,17,569.12,569.12,2,0.0,0.0,plan_no_longer_active,0,
2026-04-07T13:54:43.059632+00:00,META_20260407_1348,META,bear,BUY,17,569.12,569.12,5,0.0,0.0,closed,1,plan_no_longer_active
2026-04-07T13:54:43.320998+00:00,GOOGL_20260407_1347,GOOGL,bear,hold,33,300.89,300.89,3,0.0,0.0,plan_no_longer_active,0,
2026-04-07T13:54:43.524433+00:00,GOOGL_20260407_1347,GOOGL,bear,BUY,33,300.89,300.89,6,0.0,0.0,closed,1,plan_no_longer_active
2026-04-07T13:54:43.776135+00:00,MSFT_20260407_1354,MSFT,bear,hold,27,370.31,370.31,4,0.0,0.0,hold,0,
2026-04-07T14:03:13.458264+00:00,TSLA_20260407_1402,TSLA,bear,SELL,29,343.62,343.62,7,0.0,0.0,open,0,placed
2026-04-07T14:03:14.277107+00:00,META_20260407_1401,META,bear,SELL,17,570.46,570.46,8,0.0,0.0,open,0,placed
2026-04-07T14:03:14.784710+00:00,QQQ_20260407_1403,QQQ,bear,SELL,17,583.83,583.83,9,0.0,0.0,open,0,placed
2026-04-07T14:03:15.193152+00:00,AAPL_20260407_1400,AAPL,bear,SELL,39,250.2,250.2,10,0.0,0.0,open,0,placed
2026-04-07T14:03:15.457075+00:00,MSFT_20260407_1354,MSFT,bear,hold,27,370.31,370.31,4,0.0,0.0,plan_no_longer_active,0,
2026-04-07T14:03:16.062546+00:00,MSFT_20260407_1354,MSFT,bear,BUY,27,370.31,370.31,11,0.0,0.0,closed,1,plan_no_longer_active
2026-04-07T14:03:16.328215+00:00,TSLA_20260407_1402,TSLA,bear,hold,29,343.62,343.62,7,0.0,0.0,hold,0,
2026-04-07T14:03:16.854312+00:00,META_20260407_1401,META,bear,hold,17,570.46,570.46,8,0.0,0.0,hold,0,
2026-04-07T14:03:17.384020+00:00,QQQ_20260407_1403,QQQ,bear,hold,17,583.83,583.83,9,0.0,0.0,hold,0,
2026-04-07T14:03:17.896453+00:00,AAPL_20260407_1400,AAPL,bear,hold,39,250.2,250.2,10,0.0,0.0,hold,0,
2026-04-07T14:10:52.835669+00:00,GOOGL_20260407_1409,GOOGL,bear,SELL,33,300.27,300.27,12,0.0,0.0,open,0,placed
2026-04-07T14:10:53.106005+00:00,TSLA_20260407_1402,TSLA,bear,hold,29,343.62,343.62,7,0.0,0.0,plan_no_longer_active,0,
2026-04-07T14:10:53.308595+00:00,TSLA_20260407_1402,TSLA,bear,BUY,29,343.62,343.62,13,0.0,0.0,closed,1,plan_no_longer_active
2026-04-07T14:10:53.827418+00:00,META_20260407_1401,META,bear,hold,17,570.46,570.46,8,0.0,0.0,plan_no_longer_active,0,
2026-04-07T14:10:54.331758+00:00,META_20260407_1401,META,bear,BUY,17,570.46,570.46,14,0.0,0.0,closed,1,plan_no_longer_active
2026-04-07T14:10:54.855033+00:00,QQQ_20260407_1403,QQQ,bear,hold,17,583.83,583.83,9,0.0,0.0,plan_no_longer_active,0,
2026-04-07T14:10:55.279896+00:00,QQQ_20260407_1403,QQQ,bear,BUY,17,583.83,583.83,15,0.0,0.0,closed,1,plan_no_longer_active
2026-04-07T14:10:55.799664+00:00,AAPL_20260407_1400,AAPL,bear,hold,39,250.2,250.2,10,0.0,0.0,plan_no_longer_active,0,
