timestamp_utc,plan_id,symbol,strategy,entry_debit,entry_mid,current_mark,peak_mark,unrealized_pnl,unrealized_pnl_pct,signal,closed,dte
2026-04-06T18:36:26Z,TSLA_20260406_1834,TSLA,,3661.0,3625.0,3625.0,3625.0,-36.0,-0.98,hold,0,25.1
2026-04-06T18:36:35Z,MSFT_20260406_1834,MSFT,,2680.0,2654.0,2730.0,2730.0,50.0,1.87,hold,0,25.1
2026-04-06T18:36:45Z,GOOGL_20260406_1833,GOOGL,,2155.0,2133.0,2133.0,2133.0,-22.0,-1.02,hold,0,25.099
2026-04-06T18:36:50Z,AMZN_20260406_1833,AMZN,,1720.0,1703.0,1717.0,1717.0,-3.0,-0.17,hold,0,25.099
2026-04-06T18:37:27Z,SPY_20260406_1835,SPY,,2811.0,2783.0,2783.0,2783.0,-28.0,-1.0,hold,0,32.099
2026-04-06T18:37:53Z,QQQ_20260406_1835,QQQ,,2929.0,2900.0,2900.0,2900.0,-29.0,-0.99,hold,0,32.099
2026-04-06T18:38:03Z,NVDA_20260406_1834,NVDA,,1070.0,1060.0,1074.0,1074.0,4.0,0.37,hold,0,25.099
2026-04-06T18:38:10Z,AAPL_20260406_1833,AAPL,,1611.0,1595.0,1595.0,1595.0,-16.0,-0.99,hold,0,32.098
2026-04-06T18:39:30Z,TSLA_20260406_1834,TSLA,,3661.0,3625.0,3625.0,3625.0,-36.0,-0.98,hold,0,25.098
2026-04-06T18:39:49Z,MSFT_20260406_1834,MSFT,,2680.0,2654.0,2730.0,2730.0,50.0,1.87,hold,0,25.097
2026-04-06T18:40:00Z,GOOGL_20260406_1833,GOOGL,,2155.0,2133.0,2103.0,2133.0,-52.0,-2.41,hold,0,25.097
2026-04-06T18:40:05Z,AMZN_20260406_1833,AMZN,,1720.0,1703.0,1725.0,1725.0,5.0,0.29,hold,0,25.097
2026-04-06T18:40:49Z,SPY_20260406_1835,SPY,,2811.0,2783.0,2783.0,2783.0,-28.0,-1.0,hold,0,32.097
2026-04-06T18:41:16Z,QQQ_20260406_1835,QQQ,,2929.0,2900.0,2900.0,2900.0,-29.0,-0.99,hold,0,32.096
2026-04-06T18:41:28Z,NVDA_20260406_1834,NVDA,,1070.0,1060.0,1070.0,1074.0,0.0,0.0,hold,0,25.096
2026-04-06T18:41:35Z,AAPL_20260406_1833,AAPL,,1611.0,1595.0,1595.0,1595.0,-16.0,-0.99,hold,0,32.096
2026-04-06T18:42:49Z,TSLA_20260406_1834,TSLA,,3661.0,3625.0,3590.0,3625.0,-71.0,-1.94,hold,0,25.095
2026-04-06T18:43:00Z,MSFT_20260406_1834,MSFT,,2680.0,2654.0,2668.0,2730.0,-12.0,-0.45,hold,0,25.095
2026-04-06T18:43:14Z,GOOGL_20260406_1833,GOOGL,,2155.0,2133.0,2175.0,2175.0,20.0,0.93,hold,0,25.095
2026-04-06T18:43:21Z,AMZN_20260406_1833,AMZN,,1720.0,1703.0,1713.0,1725.0,-7.0,-0.41,hold,0,25.095
