timestamp,cash,mark_value,equity,open_positions
2022-01-03,99989.4195,0.0,99989.4195,1
2022-01-04,99959.739,0.0,99959.739,1
2022-01-05,99931.818,0.0,99931.818,1
2022-01-06,99922.997,0.0,99922.997,0
2022-01-07,99922.997,0.0,99922.997,0
2022-01-10,99904.356,0.0,99904.356,1
2022-01-11,99885.481,0.0,99885.481,2
2022-01-12,99847.965,0.0,99847.965,0
2022-01-13,99838.6265,0.0,99838.6265,1
2022-01-14,99810.43999999999,0.0,99810.43999999999,1
2022-01-18,99791.59199999999,0.0,99791.59199999999,0
2022-01-19,99782.82949999999,0.0,99782.82949999999,1
2022-01-20,99774.067,0.0,99774.067,2
2022-01-21,99765.42599999999,0.0,99765.42599999999,3
2022-01-24,99739.26,0.0,99739.26,0
2022-01-25,99739.26,0.0,99739.26,0
2022-01-26,99730.439,0.0,99730.439,1
2022-01-27,99721.447,0.0,99721.447,2
2022-01-28,99703.634,0.0,99703.634,0
2022-01-31,99684.615,0.0,99684.615,1
2022-02-01,99648.341,0.0,99648.341,1
2022-02-02,99627.12599999999,0.0,99627.12599999999,2
2022-02-03,99588.65599999999,0.0,99588.65599999999,0
2022-02-04,99570.72599999998,0.0,99570.72599999998,1
2022-02-07,99552.79599999999,0.0,99552.79599999999,0
2022-02-08,99532.84999999998,0.0,99532.84999999998,1
2022-02-09,99515.96399999998,0.0,99515.96399999998,2
2022-02-10,99479.13199999998,0.0,99479.13199999998,0
2022-02-11,99479.13199999998,0.0,99479.13199999998,0
2022-02-14,99459.14999999998,0.0,99459.14999999998,1
2022-02-15,99421.05799999998,0.0,99421.05799999998,1
2022-02-16,99400.51799999997,0.0,99400.51799999997,2
2022-02-17,99353.24499999997,0.0,99353.24499999997,1
2022-02-18,99325.83199999995,9.239999999999782,99335.07199999996,1
2022-02-22,99311.12199999994,14.399999999999864,99325.52199999994,2
2022-02-23,99295.99449999994,0.0,99295.99449999994,1
2022-02-24,99235.34199999993,30.0,99265.34199999993,1
2022-02-25,99185.11699999993,60.0,99245.11699999993,2
2022-02-28,99134.89199999992,89.99999999999997,99224.89199999992,3
2022-03-01,99154.6759999999,0.0,99154.6759999999,1
2022-03-02,99123.7849999999,0.0,99123.7849999999,1
2022-03-03,99101.4049999999,-8.519999999999769,99092.8849999999,1
2022-03-04,99033.10999999988,30.000000000000014,99063.10999999988,1
2022-03-07,99033.59149999988,0.0,99033.59149999988,1
2022-03-08,99029.74799999988,-15.0,99014.74799999988,1
2022-03-09,98983.84799999987,0.0,98983.84799999987,1
2022-03-10,98933.62299999986,30.000000000000043,98963.62299999986,2
2022-03-11,98912.46649999985,0.0,98912.46649999985,1
2022-03-14,98917.33499999985,-24.0,98893.33499999985,1
2022-03-15,98833.55999999984,30.000000000000014,98863.55999999984,1
2022-03-16,98824.23499999983,0.0,98824.23499999983,1
2022-03-17,98754.90999999981,29.999999999999986,98784.90999999981,1
2022-03-18,98764.68499999981,0.0,98764.68499999981,0
2022-03-21,98764.68499999981,0.0,98764.68499999981,0
2022-03-22,98764.68499999981,0.0,98764.68499999981,0
2022-03-23,98714.4599999998,30.0,98744.4599999998,1
2022-03-24,98724.2349999998,0.0,98724.2349999998,0
2022-03-25,98724.2349999998,0.0,98724.2349999998,0
2022-03-28,98715.09449999979,0.0,98715.09449999979,1
2022-03-29,98705.9539999998,0.0,98705.9539999998,0
2022-03-30,98655.72899999979,30.0,98685.72899999979,1
2022-03-31,98615.27899999978,30.000000000000043,98645.27899999978,1
2022-04-01,98625.05399999977,0.0,98625.05399999977,0
2022-04-04,98616.31399999977,0.0,98616.31399999977,1
2022-04-05,98557.34899999975,30.0,98587.34899999975,1
2022-04-06,98567.12399999975,0.0,98567.12399999975,0
2022-04-07,98567.12399999975,0.0,98567.12399999975,0
2022-04-08,98545.77399999974,0.0,98545.77399999974,1
2022-04-11,98524.42399999974,0.0,98524.42399999974,0
2022-04-12,98524.42399999974,0.0,98524.42399999974,0
2022-04-13,98474.19899999973,30.000000000000014,98504.19899999973,1
2022-04-14,98483.97399999973,0.0,98483.97399999973,0
2022-04-18,98433.74899999972,30.0,98463.74899999972,1
2022-04-19,98424.42399999971,0.0,98424.42399999971,1
2022-04-20,98405.3239999997,0.0,98405.3239999997,0
2022-04-21,98405.3239999997,0.0,98405.3239999997,0
2022-04-22,98405.3239999997,0.0,98405.3239999997,0
2022-04-25,98355.0989999997,29.99999999999997,98385.0989999997,1
2022-04-26,98368.52399999968,-13.200000000000259,98355.32399999969,1
2022-04-27,98345.77399999968,0.0,98345.77399999968,0
2022-04-28,98295.54899999968,30.000000000000014,98325.54899999968,1
2022-04-29,98319.77399999967,-24.0,98295.77399999967,1
2022-05-02,98286.22399999967,0.0,98286.22399999967,0
2022-05-03,98286.22399999967,0.0,98286.22399999967,0
2022-05-04,98267.12399999966,0.0,98267.12399999966,1
2022-05-05,98239.00949999965,0.0,98239.00949999965,1
2022-05-06,98229.99499999965,0.0,98229.99499999965,0
2022-05-09,98221.26849999964,0.0,98221.26849999964,1
2022-05-10,98212.12799999963,0.0,98212.12799999963,2
2022-05-11,98185.72349999963,0.0,98185.72349999963,1
2022-05-12,98177.18599999962,0.0,98177.18599999962,0
2022-05-13,98177.18599999962,0.0,98177.18599999962,0
2022-05-16,98177.18599999962,0.0,98177.18599999962,0
2022-05-17,98155.83599999962,0.0,98155.83599999962,1
2022-05-18,98134.48599999961,0.0,98134.48599999961,0
2022-05-19,98134.48599999961,0.0,98134.48599999961,0
2022-05-20,98134.48599999961,0.0,98134.48599999961,0
2022-05-23,98134.48599999961,0.0,98134.48599999961,0
2022-05-24,98134.48599999961,0.0,98134.48599999961,0
2022-05-25,98113.1359999996,0.0,98113.1359999996,1
2022-05-26,98062.9109999996,30.0,98092.9109999996,2
2022-05-27,98051.33599999959,0.0,98051.33599999959,0
2022-05-31,98029.98599999958,0.0,98029.98599999958,1
2022-06-01,98008.63599999958,0.0,98008.63599999958,0
2022-06-02,98008.63599999958,0.0,98008.63599999958,0
2022-06-03,97958.41099999957,30.0,97988.41099999957,1
2022-06-06,97937.06099999956,30.0,97967.06099999956,2
2022-06-07,97925.48599999955,0.0,97925.48599999955,0
2022-06-08,97875.26099999955,30.0,97905.26099999955,1
2022-06-09,97885.03599999954,0.0,97885.03599999954,0
2022-06-10,97875.57599999954,0.0,97875.57599999954,1
2022-06-13,97856.56599999953,0.0,97856.56599999953,1
2022-06-14,97847.52449999952,0.0,97847.52449999952,2
2022-06-15,97809.8329999995,0.0,97809.8329999995,1
2022-06-16,97780.4404999995,0.0,97780.4404999995,1
2022-06-17,97770.5034999995,0.0,97770.5034999995,2
2022-06-21,97750.2739999995,0.0,97750.2739999995,0
2022-06-22,97740.99849999949,0.0,97740.99849999949,1
2022-06-23,97710.37299999948,0.0,97710.37299999948,1
2022-06-24,97638.79799999947,29.999999999999986,97668.79799999947,1
2022-06-27,97648.57299999947,0.0,97648.57299999947,0
2022-06-28,97648.57299999947,0.0,97648.57299999947,0
2022-06-29,97598.34799999946,30.0,97628.34799999946,1
2022-06-30,97557.89799999945,30.0,97587.89799999945,1
2022-07-01,97517.44799999944,30.0,97547.44799999944,1
2022-07-05,97527.22299999943,0.0,97527.22299999943,0
2022-07-06,97527.22299999943,0.0,97527.22299999943,0
2022-07-07,97527.22299999943,0.0,97527.22299999943,0
2022-07-08,97476.99799999942,30.0,97506.99799999942,1
2022-07-11,97486.77299999942,0.0,97486.77299999942,0
2022-07-12,97486.77299999942,0.0,97486.77299999942,0
2022-07-13,97486.77299999942,0.0,97486.77299999942,0
2022-07-14,97436.54799999941,30.000000000000014,97466.54799999941,1
2022-07-15,97427.2229999994,0.0,97427.2229999994,1
2022-07-18,97397.69549999939,0.0,97397.69549999939,1
2022-07-19,97387.26799999939,0.0,97387.26799999939,0
2022-07-20,97387.26799999939,0.0,97387.26799999939,0
2022-07-21,97387.26799999939,0.0,97387.26799999939,0
2022-07-22,97368.16799999938,0.0,97368.16799999938,1
2022-07-25,97349.06799999937,0.0,97349.06799999937,0
2022-07-26,97329.96799999937,0.0,97329.96799999937,1
2022-07-27,97310.86799999936,0.0,97310.86799999936,0
2022-07-28,97301.79949999935,0.0,97301.79949999935,1
2022-07-29,97292.73099999936,0.0,97292.73099999936,0
2022-08-01,97273.63099999935,0.0,97273.63099999935,1
2022-08-02,97223.40599999935,30.000000000000043,97253.40599999935,2
2022-08-03,97204.28349999934,0.0,97204.28349999934,1
2022-08-04,97194.48599999934,0.0,97194.48599999934,0
2022-08-05,97184.24749999933,0.0,97184.24749999933,1
2022-08-08,97123.78399999932,30.0,97153.78399999932,1
2022-08-09,97133.55899999931,0.0,97133.55899999931,0
2022-08-10,97124.1289999993,-0.11999999999990507,97124.0089999993,1
2022-08-11,97095.3589999993,0.0,97095.3589999993,1
2022-08-12,97067.6539999993,0.0,97067.6539999993,1
2022-08-15,97063.17899999929,-13.679999999999822,97049.4989999993,1
2022-08-16,97030.2639999993,0.0,97030.2639999993,1
2022-08-17,97020.5789999993,0.0,97020.5789999993,0
2022-08-18,97010.0794999993,0.0,97010.0794999993,1
